Institution,Category - ALL,Category - Scheduled Caste(SC),Category - Scheduled Tribe (ST),Category - Other Backward Classes (OBC),Category - Person With Disability (PWD),Category - Muslim,Category - Other Minority Communities,Category - Foreign Students
"SHIVKUMARI SHAB MAHAVIDYALAYA KYAMPUR, MUHAMDABAD GOHANA (Id: C-49845)",0.35,0.28,NA,0.32,NA,NA,NA,NA
"Shivkumarsingh College of Prof. Studies, Bank Colony, Indore (Id: C-29756)",2.38,1,NA,0.86,NA,NA,NA,NA
"Shiv Kumar Singh Institute of Technology and Science, Gram Dehri (Bangwasa) Infront of IIM, Pithampur Road, Indore (Id: C-36018)",0.06,0.06,0.05,0.06,NA,0,NA,NA
"Shivkumarsingh Instt. of Science & Technology, Gram Dehadi, Near IIM, Indore (Id: C-29793)",0.25,3,0.57,0.11,NA,0,NA,NA
"Shivlingeshwar College of Pharmacy, Hasegaon, Tq. Ausa (Id: C-7600)",0.27,0.5,0,0.33,NA,0,0,NA
"SHIVLOK MAHILA MAHAVIDYALAYA, MEHARBAN SINGH KA PURWA, (Id: C-12153)",NA,NA,NA,NA,NA,NA,NA,NA
"SHIVLOK SADHANAKAKSH DEG. COLL., MEHARBAN SINGH KA PURWA, (Id: C-12167)",0.76,0.62,NA,0.9,NA,NA,NA,NA
"SHIV MAHAVIDYALAYA, ALIPUR, MAUIMA, (Id: C-12341)",0.9,0.96,NA,0.88,NA,1.5,NA,NA
"SHIV MAHAVIDYALAYA, AMDAHI, BANDIPUR, AMBEDKAR NAGAR (Id: C-42349)",1.46,1.97,NA,1.34,NA,NA,NA,NA
"Shivnagar Education Societys Insitute of Management, Malegaon Bk., Tal. Baramati, Dist.Pune (Id: C-42029)",0.53,0.5,NA,0.17,0,0.33,NA,NA
"Shivnagar Vidya Prasarak Mandals College of Commerce,Science & Computer Education, Malegaon Bk., Tal. Baramati, Dist.Pune (Id: C-42152)",0.66,0.8,0,0.57,NA,NA,NA,NA
"Shivnagar Vidya Prasarak Mandals College of Pharmacy, Malegaon Bk.Tal. Baramati, Dist.Pune (Id: C-41246)",0.43,NA,NA,NA,NA,NA,NA,NA
"SHIV NARAYAN CHOUBISA COLLEGE, SIMALWARA (Id: C-40044)",1.05,0.86,0.98,2.32,NA,0.67,NA,NA
SHIVNATH EDUCATION COLLEGE SHIVPURI LINK ROAD (Id: C-34874),1.25,NA,NA,0.8,NA,NA,NA,NA
SHIVNATH SINGH COLLEGE OF NURSING (Id: C-34982),0.58,0.69,0,0.49,NA,NA,NA,NA
"Shivneri Adhyapak Mahavidyalaya, Khanapur, Tal. Junnar,Dist.Pune (Id: C-41889)",1.67,2,NA,1.5,NA,NA,NA,NA
"Shivneri Institute of Business Management, Khanpur, Tal.Junnar, Dist.Pune 410502 (Id: C-41723)",0.48,1,NA,0.1,NA,0.67,0,NA
"Shivneri Mahavidyalaya, Palam (Id: C-7334)",0.27,0.14,0.35,0.14,NA,NA,NA,NA
"Shivneri Mahavidyalaya, Shiruranantpal (Id: C-7533)",0.78,0.43,0,1,NA,NA,NA,NA
"SHIV OM PUBLIC MAHAVIDYALAYA, TIRWAGANJ, (Id: C-12676)",0.96,0.72,NA,1.18,NA,NA,NA,NA
"SHIVPAL SINGH MAHAVIDYALAYA, KAIST, JASWANT NAGAR, (Id: C-12677)",1.23,0.79,NA,1.37,NA,NA,NA,NA
Shivparvathi Mandradiar College of Education (Id: C-14849),2.86,3.6,0,2.83,NA,NA,NA,NA
"SHIVPARVATHI MANDRADIAR INSTITUTE OF HEALTH SCIENCES, ERODE (Id: C-45592)",6.48,2.57,1,8.61,NA,NA,7.5,NA
"Shiv Parvati Vikas Sanstha Arts College, Rashin, Tal. Karjat, Dist.Ahmednagar (Id: C-42201)",1.09,NA,NA,NA,NA,NA,NA,NA
"Shivpati Mahavidyalay Shohratgarh, Siddharth Nagar (Id: C-14253)",0.85,0.49,NA,0.81,NA,1.06,NA,NA
"Shiv Prasad Pandey Sanskrit Mahavidyalaya, Cullcterganj (Id: C-20188)",0.83,0.5,NA,0.5,NA,NA,NA,NA
"Shivprasad Sadanand Jaiswal College, Moregaon (Id: C-18519)",1.28,1.11,1.14,1.46,NA,NA,NA,NA
"Shiv Prasad Sanskrit Degree College, Rampur, Buxar (Id: C-9656)",1.27,2,0,1.53,NA,NA,NA,NA
"Shivpyari Ruthala Ayurved Vikas SansthanAyurved Nursing Training Center,Nawalgarh (Id: C-26225)",0.6,0.41,0,1.6,NA,NA,NA,NA
"SHIVRAJ SINGH RAM PYARI MAHAVIDYALAYA, GAUSGANJ, (Id: C-12041)",0.48,0.03,NA,0.45,NA,NA,NA,NA
"Shivramji Hiwase Adhayapak Mahavidyalaya, Warud, Di stt:-Amravati (Id: C-42927)",5.12,3.5,2,5.17,NA,3,NA,NA
"Shivramji Moghe Science, Arts and Commerce College, Kclapur, Tq. Pandarkavada. (Id: C-42957)",1.16,0.93,1.25,1.04,NA,13,NA,NA
"Shivratna Shikshan Sansthas Vijaysinh Mohite Patil College of Nursing (B.Sc.) & Medical Research Institute, Malshiras, Solapur (Id: C-13794)",0.38,NA,NA,NA,NA,NA,NA,NA
"Shivsagar Sevabhavi Shikshan Prasarak Mandal's College of Arts, Nandurghat (Id: C-34496)",0.64,NA,NA,NA,NA,NA,NA,NA
"Shiv Sanatan Dharm Sanskrit Mahavidyalaya, Belagai (Id: C-20446)",2.09,2,NA,2.16,NA,NA,NA,NA
"Shiv Sankat Haran Adarsh Sanskrit Mahavidyalaya, Sikoha (Id: C-20164)",1.2,1.8,NA,1.4,NA,NA,NA,NA
"Shivshakti Arts, Commerce College, Babhulgaon. (Id: C-42877)",1.02,0.93,0.89,1.36,NA,NA,NA,NA
"Shiv Shakti College of Advanced Society in Education, Kheri Road, Rajgarh, Distt Sirmour (Id: C-11504)",1.22,1.33,NA,1.25,NA,0.5,NA,NA
"Shivshankar Chaturvedi Degree College, Tungpar, Santkabir Nagar (Id: C-14347)",0.97,0.7,NA,1.26,NA,NA,NA,NA
"SHIVSHANKAR SINGH SHIVRAM SINGH MAHAVIDYALAYA, VIRSINGHPUR, (Id: C-12158)",0.4,0.2,NA,0.36,NA,NA,NA,NA
"SHIV SHYAM MAHAVIDYALAYA, SHAHBAJPUR, HANUMANGANJ, (Id: C-12364)",0.61,0.86,NA,0.44,NA,0.77,NA,NA
"Shivtej Arogya Seva Sansthas Yogita Dental College & Hospital, Khed, Dist. Ratnagiri (Id: C-13813)",1.76,2,2.33,1.76,NA,NA,NA,NA
"Shiv Vaibhav Education College, Bachelor road (Id: C-18210)",5,NA,NA,NA,NA,NA,NA,NA
"SHIVWATI SHIVNANDAN SHUKLA MAHAVIDYALAYA, PUKHRAYAN, (Id: C-12255)",0.87,0.93,NA,0.96,NA,NA,NA,NA
"S.H. Mohavidyalaya, Madanpur, Khurda (Id: C-39574)",0.86,4,3,0.5,NA,NA,NA,NA
"Shobhasaria Engineering College,Sikar (Id: C-25238)",0.17,0.15,0.1,0.13,NA,NA,NA,NA
"Shoolini Institutes of Life Sciences and Business Management Anand Campus, The mall , Distt Solan (Id: C-11326)",1.63,1.5,1.25,NA,NA,1,NA,NA
SHOPHIA COLLEGE OF HOMEOPETHIC COLLEGE (Id: C-34893),0.44,NA,NA,1,NA,NA,NA,NA
S.H.P.T. College of Science (Id: C-44266),NA,NA,NA,NA,NA,NA,NA,NA
SHPT School of Library Science (Id: C-44196),NA,NA,NA,NA,NA,NA,NA,NA
Shradchandrajee Pawar College of Agriculture (Id: C-43573),0.46,NA,NA,NA,NA,NA,NA,NA
Shradchandrajee Pawar College of Food Technology (Id: C-43590),0.38,NA,NA,NA,NA,NA,NA,NA
Shradchandrajee Pawar College of Horticulture (Id: C-43579),0.53,NA,NA,NA,NA,NA,NA,NA
"SHRADHALAYA JANJATI B.ED. COLLEGE, ADARSH NAGAR, RAWATBHATA (Id: C-39886)",0.19,0.45,0.2,0.11,NA,NA,NA,NA
Shradha Nath TT College (Id: C-26626),0.75,0.33,0.5,1,NA,0,NA,NA
SHRADHYALAYA MAHILA TEACHERS TRAINING COLLEGE RAWAT BHATTA (Id: C-39884),NA,NA,NA,NA,NA,NA,NA,NA
"Shramdham Arts & Commerce College, Kymore (Id: C-33472)",2.95,2,NA,3,NA,3.25,NA,NA
Shramik Kisan Seva Samittees Lok Nete Shamraoji Peje Mahavidyalaya at and post Shivar Ambere Tal & Dist Ratnagiri (Id: C-33746),0.47,NA,NA,NA,NA,NA,NA,NA
Shramik Shikshan Mandal Bonkode College of Arts Commerce & Science Bonkode Koper Khairane Navi Mumbai (Id: C-33630),0.99,NA,NA,NA,NA,NA,NA,NA
"Shramjivi Shikshan Prasarak Mandal's College of Eduation, Omerga. (Id: C-34441)",0.86,NA,NA,NA,NA,NA,NA,NA
"Shrbati College of Nursing, Gayushala Road, Mahandergarh (Id: C-30751)",2.28,0.88,NA,2.4,NA,NA,NA,NA
Shree Agrasen College (Id: C-42691),0.66,0.66,0.66,0.66,0.57,0.63,NA,NA
"Shree Agrasen Mahila Snatakottar Mahavidyalaya, Bharatpur (Id: C-38269)",NA,NA,NA,NA,NA,NA,NA,NA
"Shree Agrasen Shikshak Prashikshan Mahila Mahavi., Bharatpur (Id: C-39081)",NA,NA,NA,NA,NA,NA,NA,NA
"Shree Akshaybar Singh Memorial Mahavidyalay Natwa Jangal, Maharajganj (Id: C-14148)",0.98,0.91,0.67,1.03,NA,NA,NA,NA
SHREE AMBAJI ARTS & COMMERCE COLLEGE (Id: C-6645),0.44,0.4,0.52,0.27,NA,0.94,NA,NA
"Shree Arumugham Arts & Science College,Raja Nagar,Vaithiyanaythapuram,Tholudur-606 303 (Id: C-36450)",0.31,0.38,NA,0.22,NA,NA,NA,NA
"SHREE ARYATEJ B.ED. COLLEGE, MORBI (Id: C-904)",0.46,0,0,0.24,NA,NA,NA,NA
"SHREE A.V.J. OZA INSTITUTE OF B.ED. COLLEGE, LAKHTAR (Id: C-1003)",1.09,1.36,1.33,0.73,NA,NA,NA,NA
"Shree Balaji Societys Law College, Tathawade, Near Wakad Police Station, Pune 33 (Id: C-42094)",0.68,NA,NA,NA,NA,NA,NA,NA
"SHREE BANKE BIHARI INSTITUTE OF TECHNOLOGY, MEERUT (Id: C-46421)",0.16,0.17,0.1,0.13,NA,0,NA,NA
"SHREE BANKEY BIHARI INSTITUTE OF ARCHITECTURE,MEERUT (Id: C-46204)",0.48,0,NA,0.75,NA,0.75,NA,NA
"SHREE BANKEY BIHARI INSTITUTE OF MANAGEMENT, HAPUR BYPASS, MEERUT (Id: C-28725)",0.41,0.31,NA,0.36,NA,0.53,NA,NA
"SHREE BANKEY BIHARI INSTITUTE OF MANAGEMENT, MEERUT (Id: C-46423)",0.56,1.1,NA,0.82,NA,0.13,NA,NA
"Shree Bhagwan Mahaveer Snatakottar Mahavidyalay Pava Nagar (Fazil Nagar), Kushi Nagar (Id: C-14220)",1.61,2.34,NA,1.36,NA,NA,NA,NA
Shree Bharateeya Sanskriti Prabodhinis Gomantak Ayurveda Mahavidyalaya & Research Centre Shiroda (Id: C-30874),2.96,0.5,2,NA,NA,NA,NA,NA
"Shree Bharathi College, Vivekananda Road, Nanthoor, Mangalore (Id: C-16917)",1.08,1,NA,1.28,NA,0,0,NA
Shree Bhavnagar Vidyotejak Mandal Sanchalit B.C.A. (Id: C-7148),1.12,2,NA,0.93,NA,0.5,NA,NA
"Shree BH Govt. Medical College, Chakkar Bardi, Dhule (Id: C-13880)",1.08,1.2,1.4,1.04,NA,2,3,NA
Shree B. K. Patel Arts and Smt. L. M. Patel Commerce College (Id: C-5864),0.95,1.58,2.17,1.27,NA,0.48,0.45,NA
"Shree Chanakya Education Society's Indira Global Bussiness School Address: Sr. No. 64,65, Gat no. 276, Parandwadi, Near Somatane Phata, Off Old Pune Mumbai Highway, Taluka- Maval District Pune 410506 (Id: C-41359)",0.31,0.31,NA,0.25,NA,0,1,NA
"Shree Chanakya Education Societys Indira Institute of Management, Pune Mumbai Highway, Near Wakad Police Station, Tathwade, Pune 411033 (Id: C-41542)",0.43,0.4,0.7,0.17,0,0.33,0.75,0.25
SHREE CHANDRAPRABU JAIN COLLEGE (Id: C-43971),0.06,0,NA,0,NA,NA,NA,NA
SHREE C H PATEL MSC CA AND IT COLLEGE PATAN (Id: C-46575),NA,NA,NA,NA,NA,NA,NA,NA
"SHREE D.D.KOTHIWAL MUNI. LAW COLLEGE, PORBANDAR (Id: C-856)",0.4,0.24,3,0.41,NA,0.38,NA,NA
"Shree Devi College, Mangalore (Id: C-16918)",0.18,NA,NA,NA,NA,0,0.3,NA
"Shree Devi College of Information Science, Ballalbagh, Mangalore (Id: C-16842)",0.87,NA,NA,NA,NA,0,0,0
Shree Devi College of Nursing (Id: C-40253),7.69,NA,NA,NA,NA,17,NA,NA
Shree Devi College of Pharmacy (Id: C-40605),0.88,NA,NA,0.92,NA,0.56,2.05,0
"Shree Devi College of Physiotherapy, Mangalore (Id: C-44939)",1.37,NA,NA,NA,NA,NA,4.5,NA
"Shree Devi Institute of Technology, MANGALORE (Id: C-1405)",0.4,5,0.25,0.44,NA,NA,NA,0
SHREE DEVMANI ARTS & COMMERCE COLLEGE-VISAVDAR (Id: C-812),2.32,1.27,6,1.91,0,3,NA,NA
"Shree Dharmasthala Manjunatheshwara College of Education, Ujire, Belthangady (Id: C-16888)",9.83,4,NA,10.25,NA,NA,10,NA
"Shree Dharmbhakti Institute of B.C,A, (Id: C-7138)",0.49,0.6,NA,0.25,0,0.25,NA,NA
"SHREE DIGAMBER INSTITUTE OF TECHNOLOGY,Mitrapura,DAUSA (Id: C-25080)",0.27,NA,NA,NA,NA,NA,NA,NA
"SHREE D.K. KAPURIA ARTS COLLEGE AND S.B. GARDI COMMERCE COLLEGE, KALAVAD (Id: C-735)",1.25,1.27,NA,0.8,NA,NA,NA,NA
"SHREE DWARKADHISH INSTITUTE OF MANAGEMENT AND SCIENCE,PRATAP PURA (Id: C-40037)",0.08,0.43,NA,0.06,NA,0,NA,NA
"SHREE DWARKADHISH TEACHERS TRAINING COLLEGE,PRATAP PURA (Id: C-39917)",0.82,0.91,0.27,0.63,NA,NA,NA,NA
"Shree Ganesh Group of Institutions, Vill- Rakhra (Id: C-10246)",0.18,NA,NA,NA,NA,NA,NA,NA
Shree Ghatkopar Sarvajanik Jivdaya Khatu Aruna Manharlal Shah Institute of Management & Research At R B Kadam Marg Jivdaya Lane Ghatkopar (W) Mumbai 400 086 (Id: C-33602),0.72,0.85,NA,0.5,NA,NA,NA,NA
SHREE G H PATEL COLLEGE OF EDUCATION (Id: C-6730),0.96,0.7,0,0.65,NA,NA,NA,NA
Shree G.H. Sanghavi Shikshan Mahavidyalaya (Id: C-7185),1.63,1.17,NA,1,0.5,2,NA,NA
Shree G. L. Kakadia College of Commerce and Management (Id: C-7163),NA,NA,NA,NA,NA,NA,NA,NA
"Shree Guru Govindsinghji College, Cidco, Nanded (Id: C-7453)",0.67,0.68,0,0,NA,NA,NA,NA
SHREE GURUVANDNA EDUCATIONAL TRUST. SANCHALIT ARTS COLLEGE-DERDI(TAL.GONDAL) (Id: C-14061),1.23,0.9,NA,2.15,NA,NA,NA,NA
Shree H.K. Parekh College of Management (Id: C-7157),0.59,0.17,NA,0.37,0,0.37,NA,NA
SHREE H.N. SHUKLA COLLEGE OF IT & MANAGEMENT - RAJKOT (Id: C-17372),0.15,0.27,0.12,0.06,NA,NA,NA,NA
"SHREE INSTITUTE OF SCIENCE AND TECHNOLOGY, ABBAS NAGAR (Id: C-50425)",0.6,1.25,0.6,0.8,NA,NA,NA,NA
"Shree Institute of Science & Technology, Godarmau, Abbas Nagar, Bhopal-462036 (Id: C-36287)",0.23,0.39,0.21,0.23,NA,NA,NA,NA
"Shree Inst. of Teachers Training, Abbas Nagar New Jail Road Gandhi Nagar, Bhopal (Id: C-35099)",0.52,1,NA,0.75,NA,NA,NA,NA
Shree J.C. Kumarappa B.S.W. College (Id: C-7134),0.03,0,0,0,NA,0,NA,NA
Shree J.C. Kumarappa Mahavidyalaya (Id: C-7189),0.07,0,0.3,0.06,NA,NA,NA,NA
"SHREE JEE BABA INSTITUTE OF PROFESSIONAL STUDIES, SEMARI CHATA, MATHURA (Id: C-46296)",0.17,0.1,NA,0.2,NA,NA,NA,NA
"Shreejee Institute of Technology and Management , Khandwa Road, , Khargone (Id: C-36197)",0.34,0.23,0.24,0.24,NA,NA,NA,NA
Shree J.K. Lukhi Arts and Commerce College (Id: C-7174),0.98,0.75,NA,1.09,NA,NA,NA,NA
Shree J. L. K. Kotecha Arts & S. H. Gardi Commerce College (Id: C-5859),0.56,0.84,0.56,0.38,NA,NA,NA,NA
"Shree JM Patel Arts College, Anand (Id: C-1224)",0.34,0.51,0.27,0.27,NA,1.36,NA,NA
"Shree JM Patel Institute of Social Work, Anand (Id: C-1209)",0.4,0.42,0.49,0.39,NA,NA,NA,NA
"Shree JM Patel Institute of Studies & Research in Humanities, Anand (Id: C-1155)",0.58,0.39,0.69,0.44,NA,0.67,NA,NA
SHREE J.S.PARMAR ARTS & COMMERCE COLLEGE-KODINAR (Id: C-1050),0.95,0.98,0.39,1.02,0.5,NA,NA,NA
"Shree Kesha Balaji TT College, Sikar (Id: C-39141)",1.48,0.31,1,2.19,NA,NA,NA,NA
"SHREE K.M. SAVJANI & SMT. K.K. SAVJANI B.B.A./B.C.A. COLLEGE, VERAVAL (Id: C-790)",0.57,0.24,0.54,0.51,NA,0.35,NA,NA
"SHREE K M SHAH COLLEGE OF COMMERCE, GOLAPUR (Id: C-45117)",0.44,0.2,0.33,0.33,NA,NA,NA,NA
"SHREE K.O. SHAH MUNI. ARTS & COMMERCE COLLEGE, DHORAJI (Id: C-746)",0.91,0.72,0.8,0.85,NA,NA,NA,NA
SHREE K.P. DHOLAKIYA INFOTECH MAHILA COLLEGE-AMRELI (Id: C-997),NA,NA,NA,NA,NA,NA,NA,NA
Shree Krishna Educational Charitable Society Groups of Institutions (Id: C-10411),0.36,0.42,NA,NA,NA,NA,0.49,NA
"Shree Krisna Mahavidyalay Bhantpar (Barhepurwa) malhanpar, Gorakhpur (Id: C-14334)",0.52,NA,NA,NA,NA,NA,NA,NA
SHREE LAXMINARAYAN DEV COLLEGE OF COMPUTER APPLICATIONS (564) (Id: C-47843),0.33,NA,NA,NA,NA,NA,NA,NA
"SHREE L R TIWARI COLLEGE OF ENGINEERING, THANE (Id: C-46313)",0.53,NA,NA,NA,NA,NA,NA,NA
Shree Madhav Institute of Computer And Information Technology (B. C. A.) (Id: C-694),0.22,NA,0,0.31,NA,0.11,0,NA
Shree Mahalaxmiji Mahila Homeopathic Mediacal College (Id: C-7166),NA,NA,NA,NA,NA,NA,NA,NA
"SHREE MAHARSHI DAYANAND SARASWATI B Ed COLLEGE, TANKARA (Id: C-47334)",0.82,1.33,1.5,0.31,NA,0.29,NA,NA
"Shree Mahaveer Mahavidyalay Kaptanganj, Kushi Nagar (Id: C-14150)",1.76,1.61,NA,1.75,NA,NA,NA,NA
"Shree Mahavir Education Society's Nashik Sanghavi College of Engineering Address: Mhasrul Varvandi Road, Village Varvandi, Nashik-422202 Taluka: Dindori District: Nashik (Id: C-41333)",0.29,0,0,0.21,NA,1,0,NA
"Shreemant Bhaiyyasaheb Rajemane College, MHASWAD (Id: C-11205)",0.66,0.54,NA,0.57,NA,0.55,0.75,NA
Shree Manubhai Patel Dental College and Hospital (Id: C-7151),3.85,1,NA,2.57,NA,NA,NA,NA
"SHREE MARUTI KELAVANI MANDAL MANAGED B.ED., JASAPAR (JASDAN) (Id: C-881)",0.61,0.5,0.25,0.21,0,NA,NA,NA
Shree Maruti Vidyamandir College of Business Management and Computer Science-B.B.A. (Id: C-7160),0.08,NA,NA,0.07,NA,NA,NA,NA
Shree Maruti Vidyamandir College of Business Management and Computer Science-B.C.A. (Id: C-7213),0.14,0,NA,0.02,NA,NA,NA,NA
Shreemati Jamnabai H. Wadhwa College of Technology and Kothari College of Management Studies (Id: C-44323),NA,NA,NA,NA,NA,NA,NA,NA
Shreemati Ratnaprabhadevi Mohite Patil Women's Education College (Id: C-44124),NA,NA,NA,NA,NA,NA,NA,NA
Shree Motilal Kanhaiyalal Fomra Institute of Technology (Id: C-16508),0.49,0.44,NA,0.55,NA,0.17,NA,NA
"Shree Muralidhar Bhagwat Lal Mahavidyalay, Mathauli Bazar, Kushinagar (Id: C-14144)",1.32,1.51,NA,1.48,NA,1.04,NA,NA
Shree Narayana Mandir Samitis Sree Narayan Guru College of Education (B.Ed.) at Boria P L Lokhande Marg Chembur Mumbai 400 089 (Id: C-33848),11.5,NA,NA,NA,NA,11,13,NA
Shree Narayan College of Commerce (Id: C-5914),0.66,0.88,1.5,0.69,NA,NA,NA,NA
Shree Narayan Mandir Samiti Shree Narayan Guru Commerce College P L Lokhande Marg Chembur Mumbai 400 089 (Id: C-33899),0.49,NA,NA,NA,NA,NA,NA,NA
Shree Narmada Gramvidhyapith (B. R. S.) (Id: C-17863),0.35,NA,0.5,0.25,NA,NA,NA,NA
"Shreenath Alaknanda Mahavidyalaya, Bhunvarpur, Anauni, Ghazipur (Id: C-15841)",0.69,0.54,3,0.7,NA,NA,NA,NA
Shreenivasa Engineering College (Id: C-36976),0.23,NA,NA,NA,NA,NA,NA,NA
SHREE N S PATEL LAW COLLEGE MODASA (Id: C-6780),0.56,0.36,1.11,0.33,0,0.37,NA,NA
"SHREE OM COLLEGE OF COMPUTER SCIENCE, RAJKOT (Id: C-963)",0.3,NA,NA,NA,NA,NA,NA,NA
Shree Panchal Samaj Madhyavarti Mandals Yeshwantrao Chaphekar Vidyasankul Tembhode College Road Palghar (West) Tal Palghar Dist Thane (Id: C-34037),1.54,NA,3.5,1.73,0,NA,NA,NA
SHREE PANDIT NATHULALJI VYAS TECHNICAL CAMPUS(114) (Id: C-47848),0.06,0.21,0,0.04,NA,NA,NA,NA
"Shree Parekh Arts, Science and Commerce College (Id: C-7137)",0.72,1.09,0.67,0.63,0.18,0.28,NA,NA
"Shree PM Patel College of Computer Science & Technology, Anand (Id: C-1204)",0.25,0.24,0.18,0.17,NA,0.28,NA,NA
"Shree PM Patel College of Education, Anand (Id: C-1185)",1.75,0.67,0.67,1.29,NA,1,NA,NA
"Shree PM Patel College of Electronics & Communication, Anand (Id: C-1186)",0.24,0.25,0,0.12,NA,0.15,NA,NA
"Shree PM Patel College of Law & Human Rights, Anand (Id: C-1191)",0.35,0.21,0,0,NA,0,NA,NA
"Shree PM Patel College of Paramedical Science and Technology, Anand (Id: C-1187)",3.19,6,0.86,1.5,NA,5,2,0
"Shree PM Patel Institute of Biosciences, Anand (Id: C-1214)",1.08,0.67,0.74,0.91,NA,1.71,NA,0
"Shree PM Patel Institute of Business Administration, Anand (Id: C-1219)",0.22,0.09,0.12,0.12,NA,0.33,NA,1
"Shree PM Patel Institute of Integrated M.Sc. in Biotechnology, Anand (Id: C-1189)",0.99,NA,2,0.56,NA,0,NA,NA
"Shree PM Patel Institute of Postgraduate Studies & Research in Science, Anand (Id: C-1173)",0.76,0.46,0.1,0.21,NA,1.2,NA,NA
"Shree Prabhurajendra College of Physical Education, Gadag. (Id: C-35451)",0.18,0.2,0,0.2,NA,NA,NA,NA
"Shree Radheshyam B.Ed, College (Id: C-7168)",1,0.33,NA,1.07,NA,0.33,NA,NA
"Shree Radhey PG Mahavidyalaya, Bharatpur (Id: C-38422)",0.53,0.53,0.52,0.38,NA,NA,NA,NA
Shree Ragavendra College of Education (Id: C-14539),10.11,10,NA,9.88,NA,NA,NA,NA
"Shree Raghavendra Arts &Science College ,Keezhamoongiladi,Chidhambaram-608 102 (Id: C-36436)",1.73,1.4,0.5,1.89,NA,0.84,NA,NA
Shree Rahul Education Society Mother Marys College Navghar Road Bhayandar (E)Thane 401 105 (Id: C-33874),24,NA,NA,NA,NA,NA,NA,NA
"Shree Rainath Brahamdev Mahavidyalay Salempur, Deoria (Id: C-14191)",1.33,1.88,1.35,1.07,NA,3.05,NA,NA
"SHREE RAMANA DEGREE COLLEGE, PUTTUR (Id: C-48332)",0.65,1.5,NA,0.71,NA,NA,NA,NA
SHREE RAMAN SINGH DEGREE COLLEGE KHIRARI RAYA MATHURA (Id: C-15535),0.76,0.38,NA,0.92,NA,0.55,NA,NA
"Shree Ramchandra Education Society Lonikand, Pune Shree Ramchandra College of Engineering, Address: Gat No 351 and 333/1, A/p Lonikand, Pune-Nagar Road Taluka: Haweli (excluding Corporation Area) District: Pune (Id: C-41486)",0.17,0.23,0.06,0.11,NA,NA,NA,NA
Shree Ram College (Id: C-40946),0.64,0.67,0.63,0.68,NA,NA,NA,NA
SHREERAM INSTITUTE OF ENGINEERING AND TECHOLOGY TAL PANIVA TAL.MALSHIRAS DIST-SOLAPUR (Id: C-15696),0.39,0.04,NA,NA,NA,NA,NA,NA
Shree Ramkrishna Institute of Computer Education & Applied Sciences (B. Sc.(Computer)) (Id: C-21402),1.29,1,NA,2.71,NA,NA,NA,NA
Shree Ramkrishna Institute of Computer Education & Applied Sciences (B. Sc.(Microbiology)) (Id: C-712),23.43,NA,NA,8.67,NA,NA,NA,NA
Shree Ram Mulkh College of Education (Id: C-10791),1.73,1.48,NA,3,NA,NA,NA,NA
Shree Ram Mulkh Institute of Engg. & Tech. (Id: C-10756),0.03,NA,NA,NA,NA,NA,NA,NA
SHREE RASHIKLAL M DHARIVALA MAHILA COMMERCE COLLAGE (Id: C-47820),NA,NA,NA,NA,NA,NA,NA,NA
Shree Rayeshwar Institute of Engineering & Information Technology Shiroda (Id: C-44947),0.77,NA,0,0.45,NA,1.08,0.8,NA
Shree Sahajanand Shikshan Mahavidyalaya (Id: C-7153),0.73,1,1,0.5,NA,NA,NA,NA
Shree Sahjanand Institute of Nursing College (Id: C-7179),8.63,3,16,5.29,NA,NA,NA,NA
"Shree Sai Institute of Technology, Jaora Road, Ratlam 45700 (Id: C-35984)",1.71,2,NA,1.4,NA,NA,NA,NA
"SHREE SAI PRASAD COLLEGE OF ARTS, SALWA, MOUDA (Id: C-49835)",0.92,0.43,3,0.84,NA,NA,NA,NA
"Shree Samarth Academics Shree Samarth College of Education & Research B.Ed. Mhasane Phata, Tal. Parner, Dist. Ahmednagar (Id: C-41626)",0.82,0.5,0,0.8,NA,NA,NA,NA
"Shree Samarth Ved Vidyalaya, Dhalegaon Dist. Parbhani (Id: C-16232)",0,NA,NA,NA,NA,NA,NA,NA
Shree Sapthagiri Nursing College (Id: C-40203),15.75,NA,NA,NA,NA,NA,NA,NA
"SHREE SARASWATI NURSING COLLEGE, BHUTAVAD (Id: C-14059)",2.85,2.33,5,1.8,NA,NA,NA,NA
Shree Sardar Vallabhbhai Patel B.B.A. College (Id: C-7144),0.36,0.33,NA,0.37,NA,1.5,NA,NA
"SHREE SATHYAM COLLEGE OF ENGINEERING AND TECHNOLOGY, SALEM (Id: C-45302)",0.17,0.28,NA,0.14,NA,NA,NA,NA
Shree Satsangi Saket Dham (721) K.J. Institute of Management (SFI)-Vadasma Di:Mehsana (Id: C-376),0.71,NA,NA,0.57,NA,NA,NA,NA
"SHREE SATYA COLLEGE OF HIGHER EDUCATION, LODHIPUR RAJPUT (Id: C-45158)",0.26,0.49,NA,0.05,NA,NA,NA,NA
"SHREE SATYA INSTITUTE OF MANAGEMENT, LODHIPUR RAJPUT, PALBARA, MORADABAD (Id: C-46080)",0.05,0.04,NA,0.12,NA,NA,NA,NA
"SHREE SESHACHALA DEGREE COLLEGE, PUTTUR (Id: C-48331)",0.46,0.2,NA,0.44,NA,NA,NA,NA
Shree Shakthi College of Hotel Management (Id: C-25433),0.04,NA,NA,NA,NA,NA,NA,NA
